line,comparison,region,position_class,side_of_strong_line,corr,nmse,phase_rmse_rad,amplitude_nrmse
0,wrapper_individual_vs_direct_independent,input_128,edge,before,1.0000000000000002,0.0,1.7553461452105522e-17,0.0
0,wrapper_individual_vs_direct_independent,embedded_200,edge,before,1.0000000000000002,0.0,1.7540519897627843e-17,0.0
0,wrapper_individual_vs_direct_independent,heldout_72,edge,before,1.0,0.0,1.7517489082400183e-17,0.0
0,wrapper_individual_vs_direct_independent,extrapolated_outside_200,edge,before,1.0,0.0,1.6478512283612297e-17,0.0
0,wrapper_individual_vs_direct_independent,full_K,edge,before,1.0,0.0,1.675032790367522e-17,0.0
0,whole_forward_vs_reverse,input_128,edge,before,0.9999581414084396,8.371543097922706e-05,0.015252927971252331,0.006470540373712087
0,whole_forward_vs_reverse,embedded_200,edge,before,0.9910571733468493,0.018454101510962332,0.12842320432692628,0.09749214999486429
0,whole_forward_vs_reverse,heldout_72,edge,before,0.9727175469975005,0.06214432632365747,0.2130702951956224,0.17891390573049754
0,whole_forward_vs_reverse,extrapolated_outside_200,edge,before,0.9487905109282567,0.13989112096556952,0.26772785960072165,0.3284715423956173
0,whole_forward_vs_reverse,full_K,edge,before,0.9627691303863117,0.08436178913597767,0.24058633576574265,0.25080556746566957
0,whole_forward_vs_independent,input_128,edge,before,1.0000000000000002,0.0,1.7553461452105522e-17,0.0
0,whole_forward_vs_independent,embedded_200,edge,before,1.0000000000000002,0.0,1.7540519897627843e-17,0.0
0,whole_forward_vs_independent,heldout_72,edge,before,1.0,0.0,1.7517489082400183e-17,0.0
0,whole_forward_vs_independent,extrapolated_outside_200,edge,before,1.0,0.0,1.6478512283612297e-17,0.0
0,whole_forward_vs_independent,full_K,edge,before,1.0,0.0,1.675032790367522e-17,0.0
0,whole_reverse_vs_independent,input_128,edge,before,0.9999581414084397,8.3715430979227e-05,0.01525292797125233,0.0064705403737120954
0,whole_reverse_vs_independent,embedded_200,edge,before,0.9910571733468493,0.019310970135449357,0.12842320432692628,0.09972037298358116
0,whole_reverse_vs_independent,heldout_72,edge,before,0.9727175469975003,0.07314388914221014,0.2130702951956224,0.1940845239977482
0,whole_reverse_vs_independent,extrapolated_outside_200,edge,before,0.9487905109282568,0.24201654200480124,0.26772785960072165,0.4320250486460385
0,whole_reverse_vs_independent,full_K,edge,before,0.9627691303863118,0.11237628897962317,0.24058633576574265,0.28945648313830413
0,author_L4_forward_vs_reverse,input_128,edge,before,0.999958141444409,8.371535904328541e-05,0.015252923949531053,0.006470536875642056
0,author_L4_forward_vs_reverse,embedded_200,edge,before,0.991057164435046,0.018454120883709985,0.1284232711512707,0.0974921862874846
0,author_L4_forward_vs_reverse,heldout_72,edge,before,0.972717524446225,0.06214439194162795,0.21307040758753307,0.17891397284140143
0,author_L4_forward_vs_reverse,extrapolated_outside_200,edge,before,0.948790565823615,0.13989086774724868,0.26772762017932683,0.3284711623542941
0,author_L4_forward_vs_reverse,full_K,edge,before,0.9627691796496499,0.08436166056498402,0.24058614485972088,0.2508053037844044
0,author_L4_forward_vs_independent,input_128,edge,before,1.0000000000000002,0.0,1.7553461452105522e-17,0.0
0,author_L4_forward_vs_independent,embedded_200,edge,before,1.0000000000000002,0.0,1.7540519897627843e-17,0.0
0,author_L4_forward_vs_independent,heldout_72,edge,before,1.0,0.0,1.7517489082400183e-17,0.0
0,author_L4_forward_vs_independent,extrapolated_outside_200,edge,before,1.0,0.0,1.6478512283612297e-17,0.0
0,author_L4_forward_vs_independent,full_K,edge,before,1.0,0.0,1.675032790367522e-17,0.0
0,author_L4_reverse_vs_independent,input_128,edge,before,0.9999581414444092,8.371535904328526e-05,0.015252923949531058,0.006470536875642047
0,author_L4_reverse_vs_independent,embedded_200,edge,before,0.991057164435046,0.019310990261382378,0.12842327115127072,0.09972040974162671
0,author_L4_reverse_vs_independent,heldout_72,edge,before,0.9727175244462248,0.07314396418243448,0.21307040758753307,0.19408459391779176
0,author_L4_reverse_vs_independent,extrapolated_outside_200,edge,before,0.9487905658236153,0.24201588963942608,0.26772762017932683,0.43202435749773377
0,author_L4_reverse_vs_independent,full_K,edge,before,0.9627691796496501,0.11237607561968553,0.24058614485972088,0.2894561245877393
1,wrapper_individual_vs_direct_independent,input_128,edge,before,1.0000000000000002,0.0,1.7091955177904346e-17,0.0
1,wrapper_individual_vs_direct_independent,embedded_200,edge,before,1.0000000000000002,0.0,1.6315572525634487e-17,0.0
1,wrapper_individual_vs_direct_independent,heldout_72,edge,before,1.0000000000000002,0.0,1.4835351031779586e-17,0.0
1,wrapper_individual_vs_direct_independent,extrapolated_outside_200,edge,before,1.0,0.0,1.6899753893365873e-17,0.0
1,wrapper_individual_vs_direct_independent,full_K,edge,before,1.0000000000000002,0.0,1.675561810116419e-17,0.0
1,whole_forward_vs_reverse,input_128,edge,before,0.9999909896630608,1.8020592692305777e-05,0.006771827016802389,0.003170590610141486
1,whole_forward_vs_reverse,embedded_200,edge,before,0.9908542762104141,0.018268390573551566,0.32140426021190327,0.08498084458931546
1,whole_forward_vs_reverse,heldout_72,edge,before,0.9455518910192976,0.10812313147868154,0.5355976661430245,0.20670783349409894
1,whole_forward_vs_reverse,extrapolated_outside_200,edge,before,0.7042350782019022,1.0885175303772445,1.4617488428362027,0.7181857088354427
1,whole_forward_vs_reverse,full_K,edge,before,0.9334428822590783,0.14553179674255087,1.2760710929530232,0.2601840088316385
1,whole_forward_vs_independent,input_128,edge,before,0.9999362395779078,0.00012751677879331298,0.026743434498358254,0.008313916255038481
1,whole_forward_vs_independent,embedded_200,edge,before,0.9913987096288523,0.017167169281405267,0.36791958793830215,0.08945409449562695
1,whole_forward_vs_independent,heldout_72,edge,before,0.948855107353242,0.1010610060826009,0.6121616706481823,0.21693160395397273
1,whole_forward_vs_independent,extrapolated_outside_200,edge,before,0.6402439770429247,0.8745109554182954,1.308229700903825,0.6089924765507876
1,whole_forward_vs_independent,full_K,edge,before,0.9417822729977464,0.11911398374146603,1.147797856132497,0.22616567061150022
1,whole_reverse_vs_independent,input_128,edge,before,0.9999485082459348,0.00010298085672966755,0.030436018928329308,0.007272389903376073
1,whole_reverse_vs_independent,embedded_200,edge,before,0.9792316568317573,0.04157132893464853,0.5434338975830408,0.1205237254285536
1,whole_reverse_vs_independent,heldout_72,edge,before,0.8740407987271275,0.25332668536324215,0.90481357233202,0.29737483220882366
1,whole_reverse_vs_independent,extrapolated_outside_200,edge,before,0.330056315947491,1.130707439648858,1.636129994005994,0.48449196094516095
1,whole_reverse_vs_independent,full_K,edge,before,0.851555262915233,0.28661655865878244,1.4427477666678654,0.25312117119411315
1,author_L4_forward_vs_reverse,input_128,edge,before,0.9999909896778781,1.8020563057828644e-05,0.006771757148610079,0.0031705881426511815
1,author_L4_forward_vs_reverse,embedded_200,edge,before,0.9908544006826012,0.018268133781943162,0.3214056437698401,0.08498027229562821
1,author_L4_forward_vs_reverse,heldout_72,edge,before,0.9455525101057092,0.10812161053294002,0.5355999739709932,0.20670644001792804
1,author_L4_forward_vs_reverse,extrapolated_outside_200,edge,before,0.7042366825901978,1.0884731093567648,1.4617577045645664,0.7181609482226539
1,author_L4_forward_vs_reverse,full_K,edge,before,0.9334448828909836,0.14552628837914675,1.276078793453672,0.26017571703426323
1,author_L4_forward_vs_independent,input_128,edge,before,0.9999362395779078,0.00012751677879331298,0.026743434498358254,0.008313916255038481
1,author_L4_forward_vs_independent,embedded_200,edge,before,0.9913987096288523,0.017167169281405267,0.36791958793830215,0.08945409449562695
1,author_L4_forward_vs_independent,heldout_72,edge,before,0.948855107353242,0.1010610060826009,0.6121616706481823,0.21693160395397273
1,author_L4_forward_vs_independent,extrapolated_outside_200,edge,before,0.6402439770429247,0.8745109554182954,1.308229700903825,0.6089924765507876
1,author_L4_forward_vs_independent,full_K,edge,before,0.9417822729977464,0.11911398374146603,1.147797856132497,0.22616567061150022
1,author_L4_reverse_vs_independent,input_128,edge,before,0.9999485082736121,0.00010298080137796768,0.03043593307197055,0.0072723893220105465
1,author_L4_reverse_vs_independent,embedded_200,edge,before,0.9792319637493164,0.04157074530705024,0.5434338757116108,0.12052289559820134
1,author_L4_reverse_vs_independent,heldout_72,edge,before,0.874042221487014,0.2533249717020659,0.9048135409772543,0.29737386414224326
1,author_L4_reverse_vs_independent,extrapolated_outside_200,edge,before,0.3300655956410435,1.1307058785286876,1.6361225667065884,0.4844893307388524
1,author_L4_reverse_vs_independent,full_K,edge,before,0.8515595266202874,0.2866093105766113,1.4427414474820677,0.25311715843977084
2,wrapper_individual_vs_direct_independent,input_128,edge,before,1.0,0.0,1.760701767595076e-17,0.0
2,wrapper_individual_vs_direct_independent,embedded_200,edge,before,1.0,0.0,1.7198378053854752e-17,0.0
2,wrapper_individual_vs_direct_independent,heldout_72,edge,before,1.0,0.0,1.6446857345952275e-17,0.0
2,wrapper_individual_vs_direct_independent,extrapolated_outside_200,edge,before,1.0000000000000002,0.0,1.6858774511064883e-17,0.0
2,wrapper_individual_vs_direct_independent,full_K,edge,before,1.0,0.0,1.694431351315321e-17,0.0
2,whole_forward_vs_reverse,input_128,edge,before,0.9999902926068456,1.9414692075467858e-05,0.005967154275712565,0.0028929577070742345
2,whole_forward_vs_reverse,embedded_200,edge,before,0.9881110931979782,0.023680960896665444,0.22822212893991178,0.10748239618572616
2,whole_forward_vs_reverse,heldout_72,edge,before,0.9497516076277979,0.09877575080401016,0.3802869957989683,0.2195222825255638
2,whole_forward_vs_reverse,extrapolated_outside_200,edge,before,0.9295038599330085,0.14588390458668107,0.7357835539196955,0.2433516736740246
2,whole_forward_vs_reverse,full_K,edge,before,0.9719500962628385,0.05628836114262481,0.6473441230894813,0.15579345057188448
2,whole_forward_vs_independent,input_128,edge,before,0.9999595019976504,8.099436461073016e-05,0.011579065019977863,0.006497877359351376
2,whole_forward_vs_independent,embedded_200,edge,before,0.984926888540508,0.03011871188489715,0.3106815607328848,0.11394226669785089
2,whole_forward_vs_independent,heldout_72,edge,before,0.9370502630392242,0.12544959461666508,0.517572389841668,0.23249205489531374
2,whole_forward_vs_independent,extrapolated_outside_200,edge,before,0.8708570431136734,0.28144811522723806,0.9150138128441173,0.30847560708401134
2,whole_forward_vs_independent,full_K,edge,before,0.9523911154261315,0.09718091350542521,0.8075075642472349,0.1868406194644384
2,whole_reverse_vs_independent,input_128,edge,before,0.999960084032755,7.983034120540166e-05,0.013050698285178698,0.006251281937308888
2,whole_reverse_vs_independent,embedded_200,edge,before,0.9948676018339873,0.010376175404845665,0.17975152990456753,0.06772289905364982
2,whole_reverse_vs_independent,heldout_72,edge,before,0.9787043226080697,0.04465057278761608,0.29908010464759055,0.1404402058304318
2,whole_reverse_vs_independent,extrapolated_outside_200,edge,before,0.9227886075136498,0.16370430340805742,0.6081023424273306,0.2396192915315201
2,whole_reverse_vs_independent,full_K,edge,before,0.9739101045521135,0.05315232924342447,0.5342461953771529,0.13901589504007855
2,author_L4_forward_vs_reverse,input_128,edge,before,0.999990292677452,1.94145508635847e-05,0.005967137866991096,0.002892946572009463
2,author_L4_forward_vs_reverse,embedded_200,edge,before,0.9881111003606041,0.02368094055646338,0.22822185861784322,0.10748234224650767
2,author_L4_forward_vs_reverse,heldout_72,edge,before,0.949751594587357,0.09877566635815282,0.38028654562132364,0.21952217276498134
2,author_L4_forward_vs_reverse,extrapolated_outside_200,edge,before,0.9295058329272176,0.14587750739444436,0.7357792808690378,0.2433446247037204
2,author_L4_forward_vs_reverse,full_K,edge,before,0.9719508481953432,0.056286639267579756,0.6473404566415298,0.15579048534660214
2,author_L4_forward_vs_independent,input_128,edge,before,0.9999595019976504,8.099436461073016e-05,0.011579065019977863,0.006497877359351376
2,author_L4_forward_vs_independent,embedded_200,edge,before,0.984926888540508,0.03011871188489715,0.3106815607328848,0.11394226669785089
2,author_L4_forward_vs_independent,heldout_72,edge,before,0.9370502630392242,0.12544959461666508,0.517572389841668,0.23249205489531374
2,author_L4_forward_vs_independent,extrapolated_outside_200,edge,before,0.8708570431136734,0.28144811522723806,0.9150138128441173,0.30847560708401134
2,author_L4_forward_vs_independent,full_K,edge,before,0.9523911154261315,0.09718091350542521,0.8075075642472349,0.1868406194644384
2,author_L4_reverse_vs_independent,input_128,edge,before,0.999960084129626,7.983014747155421e-05,0.013050684350127574,0.006251276892774823
2,author_L4_reverse_vs_independent,embedded_200,edge,before,0.9948676546310155,0.010376076942759981,0.17975119232481937,0.06772279197474596
2,author_L4_reverse_vs_independent,heldout_72,edge,before,0.9787045337241761,0.04465028770350995,0.29907954214421667,0.14044020396490525
2,author_L4_reverse_vs_independent,extrapolated_outside_200,edge,before,0.9227919365748317,0.1636993584031734,0.6080940621322071,0.23961831493266703
2,author_L4_reverse_vs_independent,full_K,edge,before,0.9739112278591757,0.05315028914875063,0.5342390982377506,0.1390146571906736
3,wrapper_individual_vs_direct_independent,input_128,edge,before,1.0000000000000002,0.0,1.7431075071839006e-17,0.0
3,wrapper_individual_vs_direct_independent,embedded_200,edge,before,1.0,0.0,1.6955061823361036e-17,0.0
3,wrapper_individual_vs_direct_independent,heldout_72,edge,before,1.0,0.0,1.607404735483214e-17,0.0
3,wrapper_individual_vs_direct_independent,extrapolated_outside_200,edge,before,1.0000000000000002,0.0,1.6810998349266402e-17,0.0
3,wrapper_individual_vs_direct_independent,full_K,edge,before,1.0,0.0,1.6847129710510836e-17,0.0
