line,group,score,coordinate_yx0,mapping_orientation,mapping_start,holdout_corr,holdout_nmse,holdout_phase_rmse,fwhm_dft_profile_um,fwhm_normalized_dft_profile_um,fwhm_rfiaa_profile_um,fwhm_rfiaa_map_profile_um,fwhm_miaa_profile_um
0,1,3205.832275390625,"[296, 392]",reverse,449,0.15985245518976904,0.9744471925698027,1.7212137708394608,7.9880152056381934,3.5226181772380776,2.0758637776908473,1.7628425431537158,1.9367938710975912
1,1,3838.592041015625,"[296, 104]",reverse,449,0.15480764413664208,0.9760345933168627,1.7231961722083025,8.243528463559569,3.320326309211051,2.782274194489315,2.139907677243906,2.1257127243632232
2,1,4211.25390625,"[200, 72]",reverse,449,0.1881606704894693,0.9645955620809534,1.6141674458838482,6.285578639310202,3.759949145643878,2.0557051566470306,1.1781210871764698,1.3728564435243398
3,1,4381.0771484375,"[264, 8]",reverse,449,0.3002443289477542,0.9098533429347123,1.5637415844299396,6.781384316245056,4.44556928078946,1.7366085050094617,1.2774904611256375,1.7093974916153363
4,1,4465.75341796875,"[392, 296]",reverse,449,0.08964849299067858,0.9919631477045003,1.703942332821333,8.584116241977105,3.702403580743285,2.0814692256840828,1.4534652074062548,1.2954600832612562
5,1,4598.63134765625,"[72, 8]",reverse,449,0.32731529793150455,0.89286469574001,1.4831363289332649,16.98935105585082,3.3216463827180873,3.044218869471317,1.3479316032381645,1.8003362820695443
6,1,5029.193359375,"[360, 168]",reverse,449,0.1661217249848219,0.9724035724880672,1.592917421329209,7.372205875301157,3.0782753059516628,2.2382216221073006,1.2985529464822831,1.6954636043872184
7,1,5037.29443359375,"[424, 104]",reverse,449,0.16942942683269718,0.9712936693231438,1.6710110232915516,11.438792722353242,6.328611873866816,2.007584264592167,1.179587472587238,1.5016339354639257
8,2,12371.634765625,"[136, 136]",reverse,449,0.6241224715509636,0.610471140505117,1.0766607710876823,8.017728479733371,3.761003713475507,1.380582009799585,1.0873785851349922,1.2888642729125237
9,2,13901.3056640625,"[360, 424]",reverse,449,0.5635078934120593,0.6824588540623034,1.316297617405527,7.478672232670308,4.35451899679843,2.4174593449643154,1.0474301368836285,1.5147001137172273
10,2,14722.099609375,"[328, 232]",reverse,449,0.622994999310657,0.6118772308339147,1.1437042775748185,8.160720233721683,3.7122909759175156,2.73644726062247,1.6757726095687984,2.0891970456611544
11,2,15439.0234375,"[360, 392]",reverse,449,0.6844305468602682,0.5315548265245545,1.0412996754096306,7.268153850986099,3.788640683088531,2.2817096074615413,1.7147819966389817,2.490700443764512
12,2,15906.9208984375,"[136, 488]",reverse,449,0.6885312152329178,0.5259247656498816,1.0428937461285142,9.399564714549019,4.723471122664195,1.5650784725958822,1.2136312716672861,1.4815582577201518
13,2,16576.75390625,"[168, 72]",reverse,449,0.5860629218472254,0.656530251635893,1.1746036789591243,8.200267282290165,4.235110808420826,1.9579867077016841,1.2991401635599344,1.875267823864285
14,2,17439.48828125,"[296, 360]",reverse,449,0.7206312147393279,0.480690652343321,0.9337371357976209,6.644870162144243,3.7995717983731194,1.9458685609153121,1.4016357236547279,1.9149480747996448
15,2,19092.521484375,"[264, 72]",reverse,449,0.6238536425500941,0.6108066326769795,1.100622926272618,7.745573170137616,3.968762561371622,1.2228829285575487,1.072308939598858,1.3736747684005663
16,3,46542.88671875,"[40, 424]",reverse,449,0.8642921408637383,0.2529990952411762,0.6338390318218124,7.50365037877275,3.8694306291631637,1.090866681330246,1.0219998236563497,1.1539090337532996
17,3,50355.75,"[232, 296]",reverse,449,0.8985964865873832,0.1925243542928105,0.5055076347209112,7.603136463084783,4.000523737332187,1.987764894241053,1.7870073248459533,1.9778064090191563
18,3,52797.2265625,"[136, 456]",reverse,449,0.8920973007031178,0.20416240607821132,0.3968262032865254,7.458218954239406,3.89227629325984,1.0162394345441073,1.0125152764317675,1.0747743854440586
19,3,55258.6015625,"[296, 168]",reverse,449,0.8787139136608779,0.22786185793878275,0.5184019721049165,7.559328141292987,4.005677054122977,1.1936517562641882,1.1159538010241505,1.6654014716927874
20,3,61544.89453125,"[360, 360]",reverse,449,0.9400928921169504,0.11622535419118794,0.32576121453239204,7.441474508413562,4.035604686380523,2.165577138370742,1.6620019571540139,1.9239318316258418
21,3,62045.07421875,"[72, 456]",reverse,449,0.9244282175387842,0.14543247061806627,0.30229681308403505,7.499678347159613,3.927664583853117,1.2665437069000716,1.0724102688534003,1.2596448664938633
22,3,69439.328125,"[8, 296]",reverse,449,0.926131406265748,0.14228061832822808,0.3419881287663476,7.3906047448254135,3.8613538114575325,1.0412446950742889,1.0140497573407743,1.1260999881302396
23,3,76934.9296875,"[168, 232]",reverse,449,0.935283301447881,0.12524514603275216,0.2802977204283302,7.3073154825621165,3.8787864714288958,1.2102608500310637,1.0952938982897067,1.5836040474511122
